open;high;low;close;volume;marketCap;timestamp
1608.0316286121;1640.5227454526;1607.7353816387;1626.9743262163;5538958553.07;195599049372.23;"2023-09-14T00:00:00.000Z"
1626.8701281931;1652.113161931;1613.2486737796;1641.6403441678;4348584770.57;197362656275.42;"2023-09-15T00:00:00.000Z"
1641.4464566211;1649.9886591542;1632.5778439536;1635.2217116964;2819575928.52;196591800958.75;"2023-09-16T00:00:00.000Z"
1635.2010962896;1635.5129785994;1616.7793178635;1622.8967525804;3032716258.02;195111799251.35;"2023-09-17T00:00:00.000Z"
1623.0819273512;1669.0153972799;1609.9574071119;1637.3469881784;5916674788.72;196850744403.19;"2023-09-18T00:00:00.000Z"
1637.3120466062;1659.5317251634;1628.4131539267;1643.5446568866;4405868861.25;197597152270.9;"2023-09-19T00:00:00.000Z"
1643.4953076155;1649.6191268973;1610.4208327206;1622.8906070275;5156431985.8;195115447555.42;"2023-09-20T00:00:00.000Z"
1622.5917763097;1625.2045295789;1573.3058356327;1584.3070629356;5191732311.87;190477744419.21;"2023-09-21T00:00:00.000Z"
1584.0025776693;1601.5377511663;1579.1013659233;1593.2683304574;3460791634.47;191555616769.06;"2023-09-22T00:00:00.000Z"
1593.2131080415;1598.001668612;1588.3290089333;1593.857747399;2101436677.65;191627759019.24;"2023-09-23T00:00:00.000Z"
1593.8256989419;1600.2072622021;1576.7833326681;1580.8533621681;3086456943.7;190066005491.41;"2023-09-24T00:00:00.000Z"
1580.7474721019;1595.8441120309;1565.0255567476;1588.3228677916;4394930983.8;190965993296.3;"2023-09-25T00:00:00.000Z"
1588.0231683036;1598.0978179469;1580.1655404875;1593.4171931027;3544861159.98;191580319726.06;"2023-09-26T00:00:00.000Z"
1593.1082549059;1631.9107821237;1585.3688542191;1597.4912262036;5533036096.01;192072548490.06;"2023-09-27T00:00:00.000Z"
1597.6720077421;1666.0241387947;1597.2947279435;1652.8827456544;6658092167.71;198734252807.17;"2023-09-28T00:00:00.000Z"
1652.9998783582;1687.2812504042;1648.6565164756;1667.9438329225;5529687536.86;200546946577.56;"2023-09-29T00:00:00.000Z"
1667.8344906796;1692.5311645215;1666.5638774037;1671.1618111903;3155292191.95;200935981760.42;"2023-09-30T00:00:00.000Z"
1671.1615283017;1750.5957234499;1670.0821815652;1733.8104784386;5054880179.79;208471009287.78;"2023-10-01T00:00:00.000Z"
1732.9840045172;1743.5635808384;1646.0776971961;1663.6275288364;8420552921.62;200034753094.41;"2023-10-02T00:00:00.000Z"
1662.8872060741;1670.3562892433;1644.496512643;1656.6856238037;4742827302.24;199201087917.47;"2023-10-03T00:00:00.000Z"
1656.7359982359;1657.2535573341;1629.4266355086;1647.8380903281;5127524862.9;198139095050.81;"2023-10-04T00:00:00.000Z"
1647.7881975432;1654.3790303729;1609.8499781489;1611.4764662364;5403759057.34;193768867641.82;"2023-10-05T00:00:00.000Z"
1611.3657129111;1659.6098383554;1611.3657129111;1645.8314874748;4941208729.21;197902084555.42;"2023-10-06T00:00:00.000Z"
1645.810874774;1648.1836987202;1631.1581480643;1634.5112732424;2578994987.75;196543193340.4;"2023-10-07T00:00:00.000Z"
1634.6573505209;1641.1823986526;1618.1892683047;1633.5485715949;3315554175.07;196430165815.47;"2023-10-08T00:00:00.000Z"
1633.4548524081;1635.4479267065;1553.0070070574;1579.8066080951;7020801715.54;189970486076.08;"2023-10-09T00:00:00.000Z"
1580.1121201498;1593.7412981814;1553.031725993;1567.7129669395;5254966125.17;188518346471.53;"2023-10-10T00:00:00.000Z"
1567.6807600904;1578.2235465507;1548.9804209696;1566.2547858612;5416504273.18;188345385723.98;"2023-10-11T00:00:00.000Z"
1566.3560145517;1566.8781135721;1523.2375682061;1539.6124395074;5003930676.87;185143896035.92;"2023-10-12T00:00:00.000Z"
