"","open","high","low","close","volume","marketCap","timestamp","coin"
"1",0.0588294056,0.0831303713,0.0528100614,0.0822764686,356348.93,0,2020-07-13,"ALEPH"
"2",0.0822581876,0.3909498286,0.0822581876,0.2960346617,725342.85,11488947.87,2020-07-20,"ALEPH"
"3",0.2960345683,0.6392758215,0.2935546518,0.3072835972,1005780.89,12557609.57,2020-07-27,"ALEPH"
"4",0.3073311066,0.4429364552,0.2624825614,0.4177473922,1049959.9,17071879.85,2020-08-03,"ALEPH"
"5",0.42461414,0.7179952,0.33509519,0.36223739,3982852.17,14849602.88,2020-08-10,"ALEPH"
"6",0.36223739,6.27183217,0.26586736,0.3130276,2867077.92,12832290.86,2020-08-17,"ALEPH"
"7",0.31301393,0.62259402,0.00373631,0.50383527,5302027.12,20654283.3,2020-08-24,"ALEPH"
"8",0.59489589,0.62260621,0.26706217,0.30987147,7638394.51,12702908.09,2020-08-31,"ALEPH"
"9",0.30987147,0.33839896,0.19830559,0.25535716,6925306.24,10468142,2020-09-07,"ALEPH"
"10",0.25075783,0.27373113,0.19628255,0.21164155,6127457.58,8676058.88,2020-09-14,"ALEPH"
"11",0.21166158,0.21647767,0.02469909,0.08746026,9114737.41,3585356.53,2020-09-21,"ALEPH"
"12",0.08755328,0.10702355,0.06340078,0.09697175,3834219.24,5526928.6,2020-09-28,"ALEPH"
"13",0.09701731,0.11836247,0.06849201,0.09748449,3164688.03,5556152.16,2020-10-05,"ALEPH"
"14",0.0974701,0.16524416,0.09146568,0.12274949,3060275.84,6996136.79,2020-10-12,"ALEPH"
"15",0.12266184,0.13784672,0.09656258,0.10349656,752034.52,6223157.92,2020-10-19,"ALEPH"
"16",0.10349657,0.10843056,0.09086442,0.09184212,572698.05,5533167.21,2020-10-26,"ALEPH"
"17",0.09184229,0.10910322,0.07954455,0.1027662,734828.93,6214241.18,2020-11-02,"ALEPH"
"18",0.10276971,0.13293008,0.09905972,0.10525255,1751148.24,6406785.59,2020-11-09,"ALEPH"
"19",0.10525605,0.12338418,0.0945713,0.11411932,1599076.95,7255939.57,2020-11-16,"ALEPH"
"20",0.11411344,0.17929363,0.11411344,0.13467515,2553509.04,8984804.48,2020-11-23,"ALEPH"
"21",0.13467803,0.15169875,0.13014159,0.13484443,2629943.39,9013334.29,2020-11-30,"ALEPH"
"22",0.13484961,0.14148006,0.12487752,0.13275685,1750053.34,8941868.02,2020-12-07,"ALEPH"
"23",0.13274663,0.20371593,0.1261152,0.15851591,5221633.57,10815229.67,2020-12-14,"ALEPH"
"24",0.15851585,0.16740148,0.13006377,0.15186848,3296253.95,10591235.19,2020-12-21,"ALEPH"
