"theDate","opening","opening","highest","lowest","closing","volume","marketcap","CoinSymbol","CoinDesc"
"2016-11-01",10.9577999115,10.9577999115,11.2454004288,7.8757300377,8.5875396729,10626600,742664775.16,"ETH",""
"2016-12-01",8.6016197205,8.6016197205,8.8613300323,5.978869915,7.9690999985,9066800,696993600.01,"ETH",""
"2017-01-01",7.9823098183,7.9823098183,11.8908996582,7.9823098183,10.7274999619,11648700,948748952.19,"ETH",""
"2017-02-01",10.7412996292,10.7412996292,16.0594005585,10.55189991,15.817199707,65478900,1412825288.28,"ETH",""
"2017-03-01",15.8472003937,15.8472003937,55.1147003174,15.5588998795,50.0373001099,151416000,4517835716.46,"ETH",""
"2017-04-01",50.0336990356,50.0336990356,79.0212020874,40.9011001587,79.0212020874,229944992,7206669916.76,"ETH",""
"2017-05-01",79.3216018677,79.3216018677,236.9649963379,73.0866012573,230.6690063477,1271600000,21244817138.8,"ETH",""
"2017-06-01",230.8860015869,230.8860015869,414.7560119629,214.4799957275,294.9159851074,1011800000,27404731860.5,"ETH",""
"2017-07-01",3.8002500534,3.8002500534,7.8861498833,2.1125400066,3.5250000954,23.61,0,"ERG",""
"2017-07-01",293.3529968262,293.3529968262,295.5090026855,133.7230072021,203.8710021973,569414016,19102596754.5,"ETH",""
"2017-08-01",294.6019897461,294.6019897461,1091.9699707031,200.9779968262,588.1729736328,298144000,9736726124.44,"BCH",""
"2017-08-01",0.1045949981,0.1045949981,2.955450058,0.0961093977,2.2037899494,20214800,220379000,"BNB",""
"2017-08-01",3.5250000954,3.5250000954,22.0156002045,3.4000000954,7.4878401756,6273.03,0,"ERG",""
"2017-08-01",204.68800354,204.68800354,388.7479858398,204.68800354,383.0419921875,706254016,36142706813.6,"ETH",""
"2017-09-01",588.3980102539,588.3980102539,707.9810180664,301.6889953613,432.6260070801,150564992,7195230134.65,"BCH",""
"2017-09-01",2.2016899586,2.2016899586,2.8492701054,0.5267549753,1.2835799456,6194570,128358000,"BNB",""
"2017-09-01",7.4959001541,7.4959001541,11.6620998383,3.5504798889,3.5983400345,177.31,0,"ERG",""
"2017-09-01",383.467010498,383.467010498,390.0440063477,195.0350036621,301.4649963379,332439008,28607406297.7,"ETH",""
"2017-10-01",433.3800048828,433.3800048828,526.1170043945,289.0369873047,439.0530090332,343799008,7354889628.26,"BCH",""
"2017-10-01",1.2841800451,1.2841800451,2.0329499245,1.096050024,1.3128900528,3397150,129994490.46,"BNB",""
"2017-10-01",3.6003499031,3.6003499031,10.1321001053,3.5519599915,7.73706007,339.16,0,"ERG",""
"2017-10-01",301.5469970703,301.5469970703,349.3450012207,277.575012207,305.8789978027,369583008,29194751984.9,"ETH",""
"2017-11-01",0.0291265007,0.0291265007,0.1469060034,0.0182099994,0.1198830009,124345000,3108214997.31,"ADA",""
"2017-11-01",438.2980041504,438.2980041504,2477.6499023438,437.908996582,1389.7800292969,1211730048,23391282946.5,"BCH",""
"2017-11-01",1.335160017,1.335160017,2.1742300987,1.1956199408,1.9969700575,31559500,197727987.58,"BNB",""
"2017-11-01",7.7314100266,7.7314100266,11.519900322,5.6210598946,7.7434902191,155564,0,"ERG",""
"2017-11-01",305.7619934082,305.7619934082,522.3070068359,281.1719970703,447.1140136719,1903040000,42947937239,"ETH",""
"2017-12-01",0.1166220009,0.1166220009,0.7773849964,0.0991362035,0.719694972,305947008,18659583030.8,"ADA",""
"2017-12-01",1381.8100585938,1381.8100585938,4355.6201171875,1226.2099609375,2533.0100097656,1300819968,42774211629.6,"BCH",""
"2017-12-01",1.9969500303,1.9969500303,11.3022003174,1.9229700565,8.6355800629,74927904,855043318.12,"BNB",""
"2017-12-01",7.714869976,7.714869976,22.9957008362,7.1956400871,18.8939990997,4145.23,7506586.2,"ERG",""
"2017-12-01",445.2090148926,445.2090148926,881.9439697266,414.4110107422,756.7329711914,2554269952,73170170967.3,"ETH",""
"2018-01-01",0.7188469768,0.7188469768,1.3272099495,0.4406200051,0.5193150043,505904000,13464316636.4,"ADA",""
"2018-01-01",2534.8200683594,2534.8200683594,3071.1599121094,1361.0200195313,1486.8900146484,729209024,25191540894.4,"BCH",""
"2018-01-01",8.629529953,8.629529953,24.9120998383,7.9592199326,11.1450004578,50435000,1103511030,"BNB",""
"2018-01-01",18.841999054,18.841999054,23.3498001099,9.6389503479,10.757900238,3806.65,4274113.67,"ERG",""
"2018-01-01",755.757019043,755.757019043,1432.8800048828,742.0040283203,1118.3100585938,3757560064,108848638400,"ETH",""
"2018-02-01",0.5159119964,0.5159119964,0.5353220105,0.2665230036,0.3125810027,114757000,8104309635.84,"ADA",""
"2018-02-01",1491.1199951172,1491.1199951172,1641.4000244141,764.0180053711,1204.1600341797,375300992,20462034996,"BCH",""
"2018-02-01",11.1782999039,11.1782999039,11.8706998825,5.5900697708,10.4381999969,69036400,1033527934.8,"BNB",""
"2018-02-01",10.7677001953,10.7677001953,11.6157999039,4.4404702187,9.8256196976,22001.3,3903718.83,"ERG",""
"2018-02-01",1119.3699951172,1119.3699951172,1161.3499755859,574.4190063477,855.1989746094,1963980032,83728564148.6,"ETH",""
"2018-02-01",0.3723269999,0.3723269999,0.4063439965,0.1158410013,0.1791879982,574142,45604708.83,"TRAC",""
"2018-03-01",0.3119730055,0.3119730055,0.317723006,0.1270460039,0.1559190005,113124000,4042522911.21,"ADA",""
"2018-03-01",1204.8399658203,1204.8399658203,1303.6600341797,677.5280151367,685.2470092773,306972000,11682407782.7,"BCH",""
"2018-03-01",10.4482002258,10.4482002258,14.8387002945,7.1742300987,11.0558996201,89256304,1094688882.6,"BNB",""
"2018-03-01",9.8323097229,9.8323097229,12.7263002396,5.2643799782,6.1774902344,42884.5,2454316.78,"ERG",""
"2018-03-01",856.0120239258,856.0120239258,880.3020019531,368.6329956055,396.4570007324,1323920000,39066085341.7,"ETH",""
"2018-03-01",0.1743039936,0.1743039936,0.2528750002,0.1013099998,0.1118320003,196282,28462094.55,"TRAC",""
"2018-04-01",0.1565970033,0.1565970033,0.3879010081,0.1413429976,0.3433179855,298712000,8901230002.97,"ADA",""
"2018-04-01",688.0139770508,688.0139770508,1560.9399414063,603.7050170898,1350.0500488281,753113984,23089803896.2,"BCH",""
"2018-04-01",11.1519002914,11.1519002914,15.9259004593,10.3782997131,14.3121004105,83765800,1632170348.18,"BNB",""
"2018-04-01",6.1773099899,6.1773099899,7.6517801285,4.5204200745,4.6193699837,2053.91,1835275.7,"ERG",""
"2018-04-01",397.2539978027,397.2539978027,708.875,363.8049926758,669.9240112305,2853100032,66423712255.5,"ETH",""
"2018-04-01",0.3557069898,0.3557069898,0.6238250136,0.3045020103,0.5275269747,735086,31899962,"SNX",""
"2018-04-01",0.1121869981,0.1121869981,0.215406999,0.0973095968,0.1803050041,544860,48368122.1,"TRAC",""
"2018-05-01",0.3429529965,0.3429529965,0.3897489905,0.1740020066,0.2252140045,202076000,5839139264.15,"ADA",""
"2018-05-01",1348.6400146484,1348.6400146484,1838.4899902344,880.8850097656,995.3439941406,705260032,17078622465.8,"BCH",""
"2018-05-01",14.3145999908,14.3145999908,16.220500946,11.7031002045,14.190199852,93931696,1618268714.91,"BNB",""
"2018-05-01",4.6230101585,4.6230101585,7.2333598137,3.6640501022,4.2790298462,593472,1700058.62,"ERG",""
"2018-05-01",670.4630126953,670.4630126953,835.0570068359,512.5520019531,577.6450195313,1985040000,57643138806.7,"ETH",""
"2018-05-01",0.5291969776,0.5291969776,0.7982230186,0.4455929995,0.5043349862,942052,30737083,"SNX",""
"2018-05-01",0.1810390055,0.1810390055,0.3598209918,0.1683879942,0.2033630013,250794,54552936.66,"TRAC",""
"2018-05-01",0.00964353978634,0.00964353978634,0.0107479999,0.00366386002861,0.00484343012795,510060,17731784.87,"XDC",""
"2018-06-01",0.2245330065,0.2245330065,0.2367610037,0.1146740019,0.1376709938,104599000,3569405728.04,"ADA",""
"2018-06-01",995.6610107422,995.6610107422,1206.5300292969,651.2119750977,748.708984375,576081024,12887050715,"BCH",""
"2018-06-01",14.2517004013,14.2517004013,17.4381008148,13.5444002151,14.6572999954,59676900,1671537401.52,"BNB",""
"2018-06-01",4.3150801659,4.3150801659,5.0371098518,2.4720599651,3.0730500221,4739.93,1220922.77,"ERG",""
"2018-06-01",578.6719970703,578.6719970703,624.5130004883,407.9469909668,455.1799926758,1475939968,45703302056.4,"ETH",""
"2018-06-01",0.505900979,0.505900979,0.6205559969,0.2856349945,0.3155800104,520037,19681220,"SNX",""
"2018-06-01",0.466711998,0.466711998,0.6002929807,0.1079009995,0.1241440028,238876,7241684.38,"SOUL",""
"2018-06-01",0.2025810033,0.2025810033,0.2294570059,0.0867879987,0.1039469987,68165.4,27884197.75,"TRAC",""
"2018-06-01",0.0047907801345,0.0047907801345,0.00684309005737,0.00375535991043,0.00451357010752,334186,16523229.76,"XDC",""
"2018-07-01",0.1382640004,0.1382640004,0.192929998,0.1231539994,0.143297,93183800,3715271426.88,"ADA",""
"2018-07-01",749.1790161133,749.1790161133,880.9849853516,669.5209960938,777.146,420759000,13419815413.9,"BCH",""
"2018-07-01",14.676199913,14.676199913,14.8694000244,11.6484003067,13.7754,66537000,1315723210.84,"BNB",""
"2018-07-01",3.0865199566,3.0865199566,3.9717800617,2.18245,2.63991,369739,1048836.24,"ERG",""
