"","open","high","low","close","volume","marketCap","timestamp","coin"
"1",0.0291265007,0.1469060034,0.0182099994,0.1198830009,124345000,3108214997.31,2017-11-01,"ADA"
"2",0.1166220009,0.7773849964,0.0991362035,0.719694972,305947008,18659583030.8,2017-12-01,"ADA"
"3",0.7188469768,1.3272099495,0.4406200051,0.5193150043,505904000,13464316636.4,2018-01-01,"ADA"
"4",0.5159119964,0.5353220105,0.2665230036,0.3125810027,114757000,8104309635.84,2018-02-01,"ADA"
"5",0.3119730055,0.317723006,0.1270460039,0.1559190005,113124000,4042522911.21,2018-03-01,"ADA"
"6",0.1565970033,0.3879010081,0.1413429976,0.3433179855,298712000,8901230002.97,2018-04-01,"ADA"
"7",0.3429529965,0.3897489905,0.1740020066,0.2252140045,202076000,5839139264.15,2018-05-01,"ADA"
"8",0.2245330065,0.2367610037,0.1146740019,0.1376709938,104599000,3569405728.04,2018-06-01,"ADA"
"9",0.1382640004,0.192929998,0.1231539994,0.143297,93183800,3715271426.88,2018-07-01,"ADA"
"10",0.143086,0.145038,0.0869513,0.102196,42250400,2649642900.7,2018-08-01,"ADA"
"11",0.101877,0.108901,0.0617078,0.0851952,49853100,2208861959.9,2018-09-01,"ADA"
"12",0.0852923,0.0881686,0.0678826,0.0697047,16366000,1807238673.73,2018-10-01,"ADA"
"13",0.0696981,0.0813096,0.0327977,0.0389159707,28861638.78,1008977117.59,2018-11-01,"ADA"
"14",0.0389911815,0.0492823212,0.0273930235,0.0410629422,19280456.75,1064641797.76,2018-12-01,"ADA"
"15",0.0409842351,0.05463648,0.0370436895,0.0383740437,22222102.46,994926537.96,2019-01-01,"ADA"
"16",0.0384414868,0.050460091,0.0360598888,0.0431234431,14678619.01,1118064551.77,2019-02-01,"ADA"
"17",0.0431118803,0.0737117932,0.0398301948,0.0697461128,67772020.27,1808312386.75,2019-03-01,"ADA"
"18",0.0696513793,0.0999581124,0.0642035832,0.0703457068,62990602.22,1823858101.45,2019-04-01,"ADA"
"19",0.070338025,0.1004016346,0.0591055842,0.0894414947,136542078.61,2318955942.15,2019-05-01,"ADA"
"20",0.0894618171,0.1069103362,0.077630873,0.0820975864,161855807.03,2128549912.33,2019-06-01,"ADA"
"21",0.0820975864,0.0858945138,0.0500708799,0.060151901,47344104,1559562581.01,2019-07-01,"ADA"
"22",0.0601601157,0.0602882331,0.0433956058,0.0449903354,44165774.4,1166467600.16,2019-08-01,"ADA"
"23",0.0449515539,0.054921289,0.0356429975,0.0388853165,57274489.38,1008182342.69,2019-09-01,"ADA"
"24",0.0388857586,0.0445532402,0.0357864665,0.0416356059,65333066.62,1079489291.49,2019-10-01,"ADA"
"25",0.0416446925,0.0466521271,0.0333358426,0.0404252104,64184926,1048107282.06,2019-11-01,"ADA"
"26",0.0404258584,0.0404258584,0.0308854182,0.0328450665,25320349.32,851576356.87,2019-12-01,"ADA"
"27",0.0328322807,0.0573022616,0.0324477687,0.0537931748,130754832.21,1394699437.38,2020-01-01,"ADA"
"28",0.0538362328,0.0720704319,0.0465108835,0.0475411731,94074240.26,1232603349.42,2020-02-01,"ADA"
"29",0.0475063281,0.0523070883,0.0191303677,0.0305529735,79871856.49,792149098.89,2020-03-01,"ADA"
"30",0.0305529735,0.0542570009,0.0295550757,0.0478459434,242494651.34,1240505150.04,2020-04-01,"ADA"
"31",0.0478257661,0.0860294599,0.0450029262,0.0743519571,848945702.29,1927728436.12,2020-05-01,"ADA"
"32",0.0742439151,0.0900887241,0.0697703665,0.0831164409,208687716.44,2154965825.27,2020-06-01,"ADA"
"33",0.0831123291,0.1537045652,0.0825333148,0.1387976159,230659122.19,3598615577.12,2020-07-01,"ADA"
"34",0.13570837,0.15545478,0.00104729,0.11357771,12229718747,2944737298.72,2020-08-01,"ADA"
"35",0.11357617,0.12776662,0.0758858,0.1010618,24311102778.66,3144283757.42,2020-09-01,"ADA"
"36",0.10115583,0.11413692,0.08989588,0.09305597,23297753515.73,2895202549.09,2020-10-01,"ADA"
"37",0.09305597,0.18206603,0.08804785,0.17130821,35338709245.94,5329823912.19,2020-11-01,"ADA"
"38",0.171367,0.19617039,0.1274195,0.18139706,36178893704.59,5643713240.75,2020-12-01,"ADA"
"39",0.18138222,0.39565268,0.16923266,0.34489765,182266702369.22,10730622858.43,2021-01-01,"ADA"
"40",0.34481717,1.47665292,0.3341943,1.30805905,242699671992.93,40696967234.71,2021-02-01,"ADA"
"41",1.30979157,1.47315504,0.99305206,1.19326443,167521776103.92,38122781324.94,2021-03-01,"ADA"
"42",1.19355301,1.55776092,0.93522749,1.35244901,126250958949.29,43208459367.04,2021-04-01,"ADA"
"43",1.35243134,2.46176633,1.02803063,1.74277833,225790700990.04,55678821518,2021-05-01,"ADA"
"44",1.73844651,1.88865007,1.00298498,1.3834715,92189659131,44196834747.32,2021-06-01,"ADA"
"45",1.38381412,1.49371694,1.02143322,1.32234451,51940086635.31,42401988601.9,2021-07-01,"ADA"
"46",1.31995824,2.96739806,1.26318907,2.77247494,160425950057.42,89122172068.62,2021-08-01,"ADA"
"47",2.76994687,3.09918625,1.9232798186,2.1144520972,152163558180.59,67743028884.06,2021-09-01,"ADA"
"48",2.1162489522,2.3696563174,1.8334204153,1.9650257587,85909279864.21,65378981994.98,2021-10-01,"ADA"
"49",1.9649620751,2.3759138662,1.4336180259,1.554903231,79882611744.82,51798875263.6,2021-11-01,"ADA"
"50",1.5528185243,1.7568632893,1.1878811969,1.3102094439,55621974810.76,43873068346.53,2021-12-01,"ADA"
"51",1.3101303641,1.6312981674,0.9333970762,1.052302735,59144644693.07,35321862362.27,2022-01-01,"ADA"
"52",1.0522356064,1.2578164892,0.7528096164,0.9598278144,41803253326.6,32309122793.98,2022-02-01,"ADA"
"53",0.9598862805,1.2428650163,0.7819079626,1.141850686,41482902316.23,38525050494.39,2022-03-01,"ADA"
"54",1.1419518289,1.2403576409,0.7423586054,0.7566602788,29127094993.69,25539225298.63,2022-04-01,"ADA"
"55",0.756700598,0.9041106107,0.4065292175,0.6252540982,38224922382.67,21095465849.46,2022-05-01,"ADA"
"56",0.6254165823,0.666099408,0.4234193804,0.4588493368,34841447482.15,15481130857.48,2022-06-01,"ADA"
"57",0.4593122797,0.5512183699,0.4064369506,0.5170200768,27857760808.39,17544584313.12,2022-07-01,"ADA"
"58",0.5170513017,0.5938981019,0.4276824739,0.4466649726,22116550072.84,15076088551.5,2022-08-01,"ADA"
"59",0.4466772826,0.5234930684,0.4264143801,0.4344143165,21828874967.27,14876397351.68,2022-09-01,"ADA"
"60",0.4344287836,0.4372204634,0.330993548,0.4063364152,16115138830.26,13949931881.28,2022-10-01,"ADA"
"61",0.4062891187,0.4362142615,0.2972875197,0.318882658,14410448708.32,10984442289.08,2022-11-01,"ADA"
"62",0.3188908886,0.3287563881,0.2403503581,0.2464659311,6299184237.51,8505385897.19,2022-12-01,"ADA"
"63",0.2464142515,0.3986752476,0.2442446199,0.3909258285,12124133558.85,13523562624.85,2023-01-01,"ADA"
"64",0.3908629064,0.4191821373,0.3468963828,0.352453998,10145100887.5,12219933289.19,2023-02-01,"ADA"
"65",0.3525264591,0.4079376663,0.2984843659,0.3989232093,12065442906.89,13859662621.37,2023-03-01,"ADA"
"66",0.3988801825,0.4605623755,0.372874866,0.3973536325,11362932106.18,13832293738.71,2023-04-01,"ADA"
"67",0.397280942,0.3977470341,0.3512082273,0.374403147,5991689965.78,13060569781.48,2023-05-01,"ADA"
"68",0.3744139759,0.3817354504,0.2304195144,0.2869560719,9048009353.84,10027878304.91,2023-06-01,"ADA"
"69",0.2869567749,0.3747097746,0.2770933315,0.3074884977,8553875547.39,10764335265.81,2023-07-01,"ADA"
"70",0.3074849579,0.3112675796,0.2457951035,0.255373444,6405804887.99,8956450722.33,2023-08-01,"ADA"
"71",0.2553683267,0.259466255,0.2376258303,0.254046922,3458695075.51,8925249511.36,2023-09-01,"ADA"
"72",1.89070204,1.9841079359,1.3023217806,1.4347821137,119391276.09,0,2019-06-24,"ALGO"
"73",1.4347821137,1.4578719569,0.9862852176,1.0678673438,51623447,0,2019-07-01,"ALGO"
"74",1.0667746167,1.0828642715,0.8033835998,0.8239503614,119707605.17,0,2019-07-08,"ALGO"
"75",0.823800643,0.8416945146,0.6126294633,0.6954471866,104231793.57,0,2019-07-15,"ALGO"
"76",0.6955581968,0.7084147676,0.5571957248,0.5748715189,54003796.67,0,2019-07-22,"ALGO"
"77",0.5755198956,0.8829092219,0.5141440649,0.7063841283,73139184.95,0,2019-07-29,"ALGO"
"78",0.7072703322,0.8779136444,0.6605687588,0.8229879057,84979680.75,0,2019-08-05,"ALGO"
"79",0.8220971553,0.8473159897,0.6638389565,0.677905032,55153057.26,155112633.13,2019-08-12,"ALGO"
"80",0.6760677974,0.6824029812,0.5307178578,0.5441819388,42184816.02,141062998.79,2019-08-19,"ALGO"
"81",0.5448659504,0.558403884,0.3816785207,0.3920444469,52338685.3,112597172.27,2019-08-26,"ALGO"
"82",0.3932927286,0.4201844685,0.339244828,0.3850559017,51110858.32,120097668,2019-09-02,"ALGO"
"83",0.3850559017,0.3959460106,0.3084711663,0.3301024313,52252158.73,112162618.03,2019-09-09,"ALGO"
"84",0.3301473467,0.3544541482,0.2971611665,0.3011003373,49507355.57,110742894.43,2019-09-16,"ALGO"
"85",0.3018137957,0.3019493989,0.1715723315,0.22682248,63293757.41,89893956.42,2019-09-23,"ALGO"
"86",0.22682248,0.2664978655,0.2131605673,0.2152110502,41375226.66,87285774.44,2019-09-30,"ALGO"
"87",0.2148007305,0.2769683651,0.2087614958,0.2515357514,63666806.35,103541713.87,2019-10-07,"ALGO"
"88",0.2515357514,0.2737670145,0.2139555016,0.2239641794,103428938.87,93669524.41,2019-10-14,"ALGO"
"89",0.2253307188,0.2361374647,0.2000841522,0.2187142945,108681817.06,92970035.99,2019-10-21,"ALGO"
"90",0.2186260908,0.2794292138,0.2075457998,0.2669306811,123088158.3,115286749.71,2019-10-28,"ALGO"
"91",0.2666029827,0.3030996552,0.2483220321,0.2698127925,114838062.63,115679691.43,2019-11-04,"ALGO"
"92",0.2698127925,0.2973258903,0.2588915945,0.2716413373,107838849.09,118562586.72,2019-11-11,"ALGO"
"93",0.2716806446,0.2776886864,0.2066471974,0.2117740064,94349402.11,94062756.45,2019-11-18,"ALGO"
"94",0.2117740064,0.3134635072,0.1907320657,0.2630355239,103782000.64,118854705.39,2019-11-25,"ALGO"
"95",0.2660265371,0.3027970488,0.2563573644,0.2939990363,132699876.32,135208489.11,2019-12-02,"ALGO"
"96",0.2939990363,0.3334932014,0.2527609339,0.2667292132,62080771.3,124937764.67,2019-12-09,"ALGO"
"97",0.2667292132,0.2679511636,0.2188597266,0.2492728999,72054881.2,120882926.94,2019-12-16,"ALGO"
"98",0.2493073354,0.2515712727,0.2252496395,0.2336676512,40574921.97,115767665.6,2019-12-23,"ALGO"
"99",0.2336049672,0.239903362,0.211893553,0.2316568202,40157155.23,116782883.79,2019-12-30,"ALGO"
"100",0.231255618,0.2442974287,0.2203525089,0.227305575,38982886.36,117020723.62,2020-01-06,"ALGO"
"101",0.2271200418,0.2667675949,0.2247778562,0.2400212267,45351951.99,125693404.18,2020-01-13,"ALGO"
"102",0.2400212267,0.2546577688,0.2301502404,0.2377795126,39915930.21,128332185.74,2020-01-20,"ALGO"
"103",0.2377237308,0.2606606921,0.2375204874,0.2534109347,45355589.88,138348586,2020-01-27,"ALGO"
"104",0.2534109347,0.3473027521,0.249108407,0.3411164723,98891527.01,189830393.05,2020-02-03,"ALGO"
"105",0.3413452662,0.4111677781,0.2992135645,0.3418499557,84144117.81,192358701.04,2020-02-10,"ALGO"
"106",0.3429078969,0.4797942596,0.2944640923,0.4608189649,128297734.33,264753521.99,2020-02-17,"ALGO"
